,plot
1623,"A pair of shuttle astronauts leave their spacecraft to repair a satellite. There's an explosion. NASA loses contact for two minutes, but the both are rescued and safely returned to Earth. Eventually it becomes evident that neither of the astronauts is quite the same."
1624,N/A
1625,"Seventeen year old slacker Anton Tobias wakes up one Halloween morning to discover that both of his parents have been turned into two headless Halloween decorations. After speaking to his equally irresponsible friends, Mick and Pnub, he discovers that his right hand has a blood-thirsty mind of its own and is hell-bent on wreaking havoc whether he likes it or not."
1626,"When Mystery, Alaska's amateur hockey team accepts a challenge to play against the New York Rangers, the entire population must put their petty differences aside and pull together as their small town becomes the center of a nationally televised event."
1627,"Shakespeare's intertwined love polygons begin to get complicated from the start--Demetrius and Lysander both want Hermia but she only has eyes for Lysander. Bad news is, Hermia's father wants Demetrius for a son-in-law. On the outside is Helena, whose unreturned love burns hot for Demetrius. Hermia and Lysander plan to flee from the city under cover of darkness but are pursued by an enraged Demetrius (who is himself pursued by an enraptured Helena). In the forest, unbeknownst to the mortals, Oberon and Titania (King and Queen of the faeries) are having a spat over a servant boy. The plot twists up when Oberon's head mischief-maker, Puck, runs loose with a flower which causes people to fall in love with the first thing they see upon waking. Throw in a group of labourers preparing a play for the Duke's wedding (one of whom is given a donkey's head and Titania for a lover by Puck) and the complications become fantastically funny."
1628,"Alice and Darlene, best friends, decide to take a trip to Thailand to celebrate high-school graduation. While there, they are befriended by charming Australian rogue Nick Parks. Nick convinces them to take a weekend side trip to Hong Kong, but at the airport, they are busted for smuggling drugs. They are convicted in a show trial and sentenced to 33 years; in desperation, they contact Yankee Hank, an American lawyer based in Thailand who has been reported to be helpful if you've got the cash."
1629,"Ike Graham has his own by-lined column in USA Today, which he usually uses as a forum to rail against the opposite sex. For his latest column which he writes at the last minute as usual, he, based on some information from a stranger in a bar about a woman he knows of back home, includes the story of still single Hale, Maryland residing Maggie Carpenter, who is known as the ""Runaway Bride"" since she has been engaged multiple times, but always leaves her betrothed standing at the altar. Because an incensed Maggie complains to the newspaper for factual inaccuracies in her story, Ike is fired, but he realizes that the story still has some life in it and thus decides to go to Hale to do further investigation. He finds that Maggie is again engaged, now for the fourth time, this time to high school football coach and adventurist Bob Kelly, who is confident enough in himself to know he will be different than the previous three grooms. When Maggie finds out that her arch enemy Ike is in town, Maggie and Ike begin a battle of outdoing the other, Maggie in an effort to get back at the man who ruined her reputation nationally, and Ike to expose Maggie for the self-absorbed man-hater he believes she is. The problem for Maggie is that many in Hale, including her family and Bob, actually seem to like Ike. So Maggie ends up taking a different approach in giving Ike the full story for a price. In doing so, Maggie comes to an understanding of who she is as a person. Both Ike and Maggie also begin to understand why Maggie has left her previous grooms at the altar - Ike's understanding with a little help from his ex-wife with who he has a complex relationship - and what each is looking for in a loving relationship. But are Maggie's understanding and wants and Ike's understanding and wants the same?"
1630,"Spike Lee's take on the ""Son of Sam"" murders in New York City during the summer of 1977 centering on the residents of an Italian-American Northeast Bronx neighborhood who live in fear and distrust of one another."
1631,"Four members of a high school band called Mystery do everything they can to attend a KISS concert in Detroit. In order to make it to the show they must steal, cheat, strip, deal with an anti-rock mom and generally do whatever it takes to see the band that has inspired them to be musicians."
1632,"An Easter story. Frank is a Manhattan medic, working graveyard in a two-man ambulance team. He's burned out, exhausted, seeing ghosts, especially a young woman he failed to save six months' before, and no longer able to save people: he brings in the dead. We follow him for three nights, each with a different partner: Larry, who thinks about dinner, Marcus, who looks to Jesus, and Tom, who wallops people when work is slow. Frank befriends the daughter of a heart victim he brings in; she's Mary, an ex-junkie, angry at her father but now hoping he'll live. Frank tries to get fired, tries to quit, and keeps coming back, to work and to Mary, in need of his own rebirth."
1633,"In 1412, a young girl called Jeanne is born in Domrémy, France. The times are hard: The Hunderd Years war with England has been going on since 1337, English knights and soldiers roam the country. Jeanne develops into a very religious young woman, she confesses several times a day. At the age of 13, she has her first vision and finds a sword. When coming home with it, she finds the English leveling her home town. Years after that, in 1428, she knows her mission is to be ridding France of the English and so sets out to meet Charles, the Dauphin. In his desperate military situation, he welcomes all help and gives the maiden a chance to prove her divine mission. After the successful liberation of Orléans and Reims, the Dauphin can be crowned traditionally in the cathedral of Reims - and does not need her anymore, since his wishes are satisfied. Jeanne d'Arc gets set up in his trap and is imprisoned by the Burgundians. In a trial against her under English law, she can't be forced to tell about her divine visions she has had continuously since childhood. Being condemned of witchcraft and being considered as relapsed heretic, she is sentenced to death. Jeanne d'Arc is burnt alive in the marketplace of Rouen on May 30th, 1431, at only 19 years of age."
1634,"After the suicide of her only friend, Rachel Lang has never felt more on the outside. The one person who reached out to her, Jessie Ryan, also happens to be part of the popular crowd that lives to torment outsiders like her. However, Rachel has something else that separates her from the rest, secret amazing powers to move things with her mind. Sue Snell, the only survivor of Carrie White's rampage 23 years ago, may hold the key to helping Rachel come to terms with her awesome, but unwanted powers. But as Rachel slowly learns to trust, a terrible trap is being laid for her, and making her angry could prove to be deadly."
1635,"Ben Sobol, Psychiatrist, has a few problems: His son spies on his patients when they open up their heart, his parents don't want to attend his upcoming wedding and his patients' problems don't challenge him at all. Paul Vitti, Godfather, has a few problems as well: Sudden anxiety attacks in public, a certain disability to kill people and his best part ceasing service when needed. One day, Ben unfortunately crashes into one of Vitti's cars. The exchange of Ben's business card is followed by a business visit of Don Paul Vitti himself, who wants to be free of inner conflict within two weeks, before all the Mafia Dons meet. Now, Ben Sobol feels somewhat challenged, as his wedding is soon, his only patient keeps him busy by regarding Ben's duty as a 24 hour standby and the feds keep forcing him to spy on Paul Vitti. And how do you treat a patient who usually solves problems with a gun?"
1636,"Megan is an all-American girl. She's a cheerleader and has a boyfriend, but she doesn't like kissing him very much, and she's pretty tactile with her cheerleader friends, and she only has pictures of girls up in her locker. Her parents and friends conclude that she *must* be gay and send her off to ""sexual redirection"" school, full of admittedly homosexual misfits, where she can learn how to be straight. Will Megan be turned around to successful heterosexuality, or will she succumb to her love for the beautiful Graham?"
1637,"A woman finds a romantic letter in a bottle washed ashore and tracks down the author, a widowed shipbuilder whose wife died tragically early. As a deep and mutual attraction blossoms, the man struggles to make peace with his past so that he can move on and find happiness."
1638,"A priest from the Vatican is sent to Sao Paulo, Brazil to investigate the appearance of the face of the Virgin Mary on the side of a building. While there he hears of a statue of the Virgin Mary bleeding tears in a small town outside of the city. Meanwhile, a young woman in the U.S. begins to show signs of stigmata, the wounds of Christ. The priest from the Vatican links up with her and cares for her as she is increasingly afflicted by the stigmata. Her ranting and raving finally begins to make sense to the priest who starts to question what his religion has stood for for the last 1900 years."
1639,"A remake of the television series, Matthew Broderick stars as Gadget, who suffers an accident at the beginning of the film, and befriends Brenda, a robotic surgeon who repairs Gadget so that he can defeat the villain Claw. In the meantime, Gadget and Brenda fall in love."
1640,"Walt Koontz, a homophobic guy, ends up with paralyzed vocal cords because of an unfortunate stroke. His therapy includes receiving singing lessons from a neighbor who is not only openly flamboyant but also a pre-op transgenderist. Both of them are equally prejudiced; Koontz against homosexuals and the neighbor against close-minded straight people."
1641,"Nicole Maris is a popular high school preppy senior in Utah who gets her life turned upside down when her perfect date, Brad, falls for a cute cheerleader from another school a month before the school's centennial senior prom. After recovering from the shock, Nicole comes up with a solution to save her reputation: find a guy to appear like they're going steady and to take her to the dance hoping to make Brad jealous. Nicole then hooks up with her next door neighbor, prankster and trouble maker Chase Hammond, and tries to model him in her own image while he's looking to make his long-term girlfriend Dulcie jealous too. However, both Nicole and Chase don't expect their charade to lead it where they never expected it to."
1642,"Detroit Tigers Veteran Pitcher Billy Chapel (Costner) has always been better at baseball than at love. Just ask Jane (Preston), his on-and-off girlfriend. After a bad season, just before he is about to start in what could be his final game, Jane tells Billy that she's leaving him...for good. Now with his career and love-life in balance, Billy battles against his emotional and physical limits as he strives for a Perfect Game. The suspense is never drawn back in this heartwarming drama about life, love, and risking it all For Love of the Game."
1643,"Miles Logan is a jewel thief who just hit the big time by stealing a huge diamond. However, after two years in jail, he comes to find out that he hid the diamond in a police building that was being built at the time of the robbery. In an attempt to regain his diamond, he poses as an L.A.P.D. detective..."
1644,"Orphan Mary Katherine Gallagher, an ugly duckling at St. Monica High School, has a dream: to be kissed soulfully. She decides she can realize this dream if she becomes a superstar, so her prayers, her fantasies, and her conversations with her only friend focus on achieving super-stardom. Her big chance is a school talent contest; her main competition is Evian, the school beauty, who is dancing with Sky, the object of Mary Katherine's kiss dream. Mary Katherine gets some talent-show help from her fellow special education students, her grandma, and Jesus, and inspiration from secrets in her past. Watching are Sky, Evian, and a silent classmate."
1645,"Comedy about two high school girls who wander off during a class trip to the White House and meet President Richard Nixon. They become the official dog walkers for Nixon's dog Checkers, and become his secret advisors during the Watergate scandal."
1646,"In this update of Disney's masterpiece film mixture of animation and music, new interpretations of great works of music are presented. It begins with an abstract battle of light and darkness set to the music of Beethoveen's Fifth Symphony. Then we see the adventures of a Humpback Whale calf and his pod set to ""The Pines of Rome."" Next is the humourous story of several lives in 1930's New York City, scored with ""Rhapsody in Blue."" Following is a musical telling of the fairy tale, ""The Steadfast Tin Soldier"" set to Dmitri Shostakovich's Piano Concerto No. 2. Then a goofy Flamingo causes havoc in his flock with his yo-yo to the tune of the finale of ""Carnival of the Animals."" This is followed by the classic sequence from the original film, ""The Sorcerer's Apprentice"" starring Mickey Mouse and followed by ""Pomp and Circumstance"" starring Donald Duck as a harried assistant to Noah on his Ark. Finally, we see the awesome tale of the life, death and renewal of a forest in a sequence featuring the composition, ""The Firebird."""
1647,"In suburban Reston, Virginia, George Washington University American History professor Michael Faraday is still mourning the death of his wife, FBI agent Leah Faraday, after three years. His inside knowledge of the agency colors what he teaches in his classes. Although on good terms with Leah's ex-partner, Whit Carver, and the agency in general, Michael wants the agency at least to acknowledge their responsibility in her death in the line of duty. Michael is moving on with his personal life, he being in a serious relationship with his former teaching assistant Brooke Wolfe. Although he likes Brooke, Michael and Leah's nine year old son, Grant Faraday, may not yet be quite ready for Brooke to be a permanent part of their lives. It is only in helping adolescent Brady Lang who he sees in medical distress that Michael meets his new neighbors, Oliver and Cheryl Lang, Brady's parents. In the process, Michael and Brooke becomes friends with the Langs, as Grant and Brady become friends. However, the more time that he spends with them and catches discrepancies in their stories, Michael becomes suspicious that the Langs may not be everything they appear on the surface. As such, Michael, against Brooke's concerns of invasion of the Lang's privacy, begins his own investigation of Oliver in particular. What Michael discovers has serious national security implications, as well as possible life threatening dangers to him, Brooke and Grant."
1648,"When Carla Tate, now a young woman, is 'graduated' out of the training school where she has resided for many years because she is mentally challenged, her hope is that she will be accepted for all that she can now do for herself. But Carla's family is wealthy which permits her mother, already blinded to her daughter's rather high-functioning abilities, to try and provide for Carla beyond her needs or desires, bringing forth the inevitable confrontations... for what Carla may lack in mental ability she certainly makes up for in her insistence on being independent, even to living in her own apartment. But if this isn't enough, into the mix comes a young man, equally challenged mentally, who moves Carla beyond anyone's control..."
1649,"This is the story of Anna Leonowens, the English schoolteacher who came to Siam in the 1860s to teach the children of King Mongkut. She becomes involved in his affairs, from the tragic plight of a young concubine to trying to forge an alliance with Britain to a war with Burma that is orchestrated by Britain. In the meantime, a subtle romance develops between them."
1650,"The power of words and images to open hearts. Helen runs, miles a day, to burn off energy: she's an emotional celibate. Going through the post at her shop, she finds a romantic and poetic letter between the couch cushions, unsigned, and thinks it's for her. It melts her resistance to feelings, and soon she undertakes an affair with Johnny, a collegiate employee. (He sees the letter and thinks she wrote it to him; he quotes some of it, so she thinks he wrote it to her.) In the background are Helen's long-time friend, George, who loves her, and her mother who abruptly left on a long trip months' before. Discovering who actually wrote the letter brings insight and promise."
1651,"Ben Holmes, a professional book-jacket blurbologist, is trying to get to Savannah for his wedding. He just barely catches the last plane, but a seagull flies into the engine as the plane is taking off. All later flights are cancelled because of an approaching hurricane, so he is forced to hitch a ride in a Geo Metro with an attractive but eccentric woman named Sarah."
1652,"Harper's autobiographical novel is almost out, his girlfriend Robin desires commitment, and he's best man at the wedding of Lance, a pro athlete. He goes to New York early (Robin will come for the wedding) to hang out with Lance and other friends, including Jordan, his former almost-lover, now in media and privy to an advance copy of the book. The men discuss women, never facing their own double standard; Jordan wants to try again with Harper, at least for one night; and Harper fears that Lance will read his book and learn that the bride-to-be slept with him once to avenge Lance's many affairs. Can Harper mature before Lance kills him, Jordan seduces him, and he loses Robin?"
1653,"Based on the best selling autobiography by Irish expat Frank McCourt, Angela's Ashes follows the experiences of young Frankie and his family as they try against all odds to escape the poverty endemic in the slums of pre-war Limerick. The film opens with the family in Brooklyn, but following the death of one of Frankie's siblings, they return home, only to find the situation there even worse. Prejudice against Frankie's Northern Irish father makes his search for employment in the Republic difficult despite his having fought for the IRA, and when he does find money, he spends the money on drink."
1654,"On a rainy London night in 1946, novelist Maurice Bendrix has a chance meeting with Henry Miles, husband of his ex-mistress Sarah, who abruptly ended their affair two years before. Bendrix's obsession with Sarah is rekindled; he succumbs to his own jealousy and arranges to have her followed."
1655,"Steve Everett, Oakland Tribune journalist with a passion for women and alcohol, is given the coverage of the upcoming execution of murderer Frank Beachum. His attractive colleague Michelle died in a car accident the night before. Bob Findley, Steve's boss and husband to Steve's current affair, wants him dead and gone as soon as possible. When Steve stumbles across the possibility of Frank Beachum being innocently on death row, Bob feels his time to have come. Now Steve only has a few hours left to prove the innocence of Frank and to be right with this theory, as he definitely will be history if he's not."
1656,"A street-wise, middle-aged moll named Gloria stands up against the mobs, which is complicated by a six-year-old urchin with a will of his own who she reluctantly takes under her wing after his family has been gunned down."
1657,"In a Hail Mary move for corporate preservation, the San Francisco based Northwest Broadcasting Corporation launches True TV, a new network which will broadcast the life of an Average Joe or Jane, 24/7 live and thus unedited, the subject chosen signed initially for one month. The project is conceived and led by one of the producers, Cynthia, but her boss, NWBC president Whitaker, will take the credit if it succeeds, and let her sink as the captain of the ship if it fails. The network is rebranded EdTV when Cynthia believes she's found her subject, Ed Pekurny, a native Texas hayseed, who fits the two main criteria that she is looking for in the person: he is easy on the eyes, and he has what seems to be a potential trainwreck of a life in that he he is thirty-one years old, spends most of his time hanging out at the bar, and has no ambition beyond his longtime dead end job as a clerk in a video store. Ed did not actively campaign for the job - his blowhard of a brother Ray was the one who played to the cameras when Cynthia's team was looking for subjects - but ultimately decided to do it after discussing it with those close to him, namely his immediately family of his mother, stepfather, and two siblings. After a slow start and despite some people associated with Ed hamming it up to the cameras in wanting their fifteen minutes of fame or more, Ed becomes enough of a toast to the TV watching public for the network to become a success. However, having the cameras rolling during certain times may not be the most advantageous for those directly involved, especially as someone from Ed's distant past reenters his life, and an issue with regard to Ray's relationship with his current girlfriend, a UPS delivery person named Shari who if Ed was being honest would admit that he is attracted to himself. Other issues that eventually do emerge is Ed and those around him using the cameras as a convenient excuse for things that happen, and as Whitaker, against Cynthia's wants as the moves being totally self-serving, begins to manipulate Ed to make EdTV more salacious TV viewing."
1658,"Nearly two years after having gone amiss in Africa, renowned anthropologist Dr. Ethan Powell is caught committing a crime and subsequently imprisoned in a Florida mental institution, where aspiring psychiatrist Dr. Theo Calder takes over his important case. Dr. Powell, who has been with a group of gorillas during all that time, is not talking at all and seems to be living in a dreamworld. Very slowly, Dr. Calder manages to reach Ethan Powell and starts finding out why Ethan killed two of the poachers. Yet Theo's case is not just about why the murders have happened, but also about how Dr. Powell became the being he is in the first place. With Ethan's silence broken, Theo is introduced into a world beyond common human comprehension: The true nature of being. He learns that mankind's control of everything is a mere illusion and that the true values of existence can't be found so easily. Ethan changes Theo's view of things forever."
1659,After the death of their loved ones in a tragic plane crash Harrison Ford and Kristin Scott Thomas find each others' keys in each others loved ones' possessions and realize that they were having an affair and must figure out all the details.
1660,"On the wedding day of a writer's friend, things aren't looking good when the groom goes missing before the ceremony. During his and his other male friend's effort to retrieve him, that writer named Mike can't help but tell the story of his youth with his friends. Ever since he met them on his first day at a new school, they shared the common experiences of growing up and life's discoveries."
1661,"When a typhoon cripples their boat, the crew sails into the eye of the storm, where they discover a high-tech Russian communications and research vessel adrift. Only one Russian crew member is still alive, raving about ""intelligent lightning."" They soon discover that an alien life form has taken over the ship's computers and is churning out mechanical warriors. With their own boat destroyed, the crew must battle the creature as the ship reenters the storm."
1662,"An ex-con, fresh out of prison, goes to L.A. to try to learn who murdered his daughter. However, he quickly finds that he is completely out of place with no understanding of the culture he finds. His investigations are helped by another ex-con. Together they learn that his daughter had been having an affair with a record producer, who is presently having an affair with another young woman. An aging actress, who also knew his daughter, forces him to look at his own failures as a father. The movie does focus on the drama of the situation and the inter-relationships of the characters and seldom slips into an action piece."
1663,"Dr. Elena Kinder and Dr. Heap work for BABYCO, the world's leading manufacturer in baby products. What the public doesn't know, however, is that Dr. Kinder and Dr. Heap are secretly working on cracking the code to ""baby talk"" which is actually a highly sophisticated language which allows babies to communicate the knowledge of the secrets of the universe with which they are born. Problems arise when Sly, the smartest of the babies, escapes from the lab and unites the babies of the outside world to help free the babies trapped in the lab. Kinder and Heap must find Sly before it is too late."
1664,"USA, summer of 1969. Man is about to walk on the moon, the Vietnam War is breaking out, and there is the great concert in Woodstock. In a holiday camp for Jewish families not far from Woodstock, Alison and her family are on vacation. Pearl, the mother is young and attractive, but defeated by life, having become pregnant on her first loving relationship, forgetting her dreams to devote herself to her children. Marty, the father is absent because he is busily occupied working at a television repair business. One day a charming salesman arrives at the camp, selling clothes and knick-knacks. He lives an intense life of love and passion, culminating in an escape to Woodstock with Pearl, where events have a deep impact."
1665,"Sir Robert Chiltern is a successful Government minister, well-off and with a loving wife. All this is threatened when Mrs Cheveley appears in London with damning evidence of a past misdeed. Sir Robert turns for help to his friend Lord Goring, an apparently idle philanderer and the despair of his father. Goring knows the lady of old, and, for him, takes the whole thing pretty seriously."
1666,"Two jilted lovers spend fifteen years of marriage together, only to find that they might no longer love each other. In this time they have two children and go through the various (dramatic and comical) events that take place in an average marriage."
1667,"Two aging fighters in LA, friends, get a call from a Vegas promoter because his undercard fighters for a Mike Tyson bout that night are suddenly unavailable. He wants them to box each other. They agree as long as the winner gets a shot at the middleweight title. They enlist Grace, Cesar's current and Vinnie's ex girlfriend, to drive them to Vegas. On the trip, we see flashbacks to their previous title shots, their competitive friendship, and Grace's motivational wiles. (She has her own entrepreneurial dreams.) The fight itself is historic: ten rounds of savagery and courage. Who will win, who'll get the title shot, who gets Grace, and where will she find venture capital?"
1668,"Nick and the other boys (and Vicki Lewis) working the hotspot of air traffic control in New York are impressed with themselves, to say the least. They thrive on the no-room-for-error, fast-paced job and let it infect their lives. The undisputed king of pushing tin, ""The Zone"" Falzone, rules his workplace and his wedded life with the same short-attention span that gets planes where they need to be in the nick of time. That is, until Russell Bell, a new transfer with a reputation for recklessness but a record of pure perfection shatters the tensely-held status quo. The game of one-upmanship between the two flies so high as to lead Nick into Russell's bed with his wife. His sanity slipping just as fast as his hold on #1, Cusack's controller is thrown out-of-control when Thornton's wanderer quietly leaves town. Nick must now find a way to regain his sanity and repair his marriage before he breaks down completely."
1669,"The Deep End of The Ocean is a film about a family's reaction when Ben, the youngest son is kidnapped and then found ten years later, living in the same town."
1670,N/A
1671,"A comedic biopic focused on the life of fictional jazz guitarist Emmett Ray. Ray was an irresponsible, free-spending, arrogant, obnoxious, alcohol-abusing, miserable human being, who was also arguably the best guitarist in the world. We follow Ray's life: bouts of getting drunk, his bizzare hobbies of shooting rats and watching passing trains, his dreams of fame and fortune, his strange obsession with the better-known guitarist Django Reinhardt, and of course, playing his beautiful music."
1672,An art-house auctioneer finds himself getting in deeper and deeper with the mob after learning that his teacher girlfriend is the daughter of a major mobster. Things get worse when a godfather decides to launder his no-talent son's gory paintings through the art house and gets the FBI into the picture. Everything then falls apart when the son is accidentally shot.
1673,The true story of a young teacher who fights against the board of education in her bid to teach underprivileged kids in a Harlem school the beauty of music through the violin. In her struggle she loses everything as the system comes down on her with all their might but her determination for the kids happiness helps her to battle back with wonderfully inspirational results.
1674,"New Year's Eve, 1981, the Lower East Side. Monica's having a party, but as late as 9, no one's there. She stews (and drinks). Folks are on their way, all looking for love, sex, or both. En route, paths cross, gambits misfire: a performance artist, her boyfriend until today and his long-time pal Lucy, two Long Island high-school girls, two punk rockers, a bartender, a Scottish painter who's lousy in bed, a pretty face named Jack who runs when women say they love him, his cute but clumsy date Cindy, two trendy vamps, a loquacious cabby, the man-crazed Hillary, and Elvis Costello. Nearly everybody smokes, and nearly everybody scores. And all get who and what they deserve."
1675,"Fed up with her small-town Bay City existence, Adele August leaves her family and second husband and heads for Beverley Hills with her daughter. The teenager resents the move and her mother's always flamboyant behaviour and in turns plans to get away to university on the east coast. Mum's plans are different - she wants a movie star for a daughter."
1676,"Leigh Ann is salutatorian when she needs to be valedictorian to get her scholarship to Harvard. The only class she is worse than the leader in is history, taught by Mrs. Tingle, and the teacher hates her. When an attempt to get ahead in Mrs. Tingle's class goes awry, mayhem ensues and friendships, loyalties and trust are tested by the teacher's intricate mind-games."
1677,"Life couldn't get much worse for News Producer Tim O'Hara. He humiliates the one he loves, Brace Channing and ends up getting fired by her father. Then, a Martian from Mars arrives in his home. The Martian adopts the name 'Uncle Martin' and becomes friends with Tim, whilst he fixes his ship. Unaware to Martin, Tim actually wants to reveal him to the world, but can he actually do that to his new friend and 'Uncle'?"
1678,"In 1944 Poland, a Jewish shop keeper named Jakob is summoned to ghetto headquarters after being caught out near curfew. While waiting for the German Kommondant, Jakob overhears a German radio broadcast about Russian troop movements. Returned to the ghetto, the shopkeeper shares his information with a friend and then rumors fly that there is a secret radio within the ghetto. Jakob uses the chance to spread hope throughout the ghetto by continuing to tell favorable tales of information from ""his secret radio."" Jakob, however, has a real secret in that he is hiding a young Jewish girl who escaped from a camp transport train. A rather uplifting and slightly humorous film about World War II Jewish Ghetto life."
1679,Godzilla returns in a brand-new movie that ignores all preceding movies except for the original with a brand new look and a powered up atomic ray. This time he battles a mysterious UFO that later transforms into a mysterious kaiju dubbed Orga. They meet up for the final showdown in the city of Shinjuku.
1680,"First Sight is true to the title from start to finish. Val Kilmer skates in the dark appears FIRST to Mira Sorvino car headlights driving lost searching for her retreat spa motel. Kilmers FIRST visual memory links him coincidently to his last. This is a true love drama with Nathan Lane providing laughs counseling visual therapy. All stars emotional vulnerability teach the audience learning love matters in art, architecture, education, parenting, massage and trees."
1681,"Jake Roedel and Jack Bull Chiles are friends in Missouri when the Civil War starts. Women and Blacks have few rights. Jack Bull's dad is killed by Union soldiers, so the young men join the Bushwhackers, irregulars loyal to the South. One is a Black man, Daniel Holt, beholden to the man who bought his freedom. They skirmish then spend long hours hiding. Sue Lee, a young widow, brings them food. She and Jack Bull become lovers, and when he's grievously wounded, Jake escorts her south to a safe farm. The Bushwhackers, led by men set on revenge, make a raid into Kansas. At nineteen, Jake is ill at ease with war. As his friends die one after another, he must decide where honor lies."
1682,"A backwoods Alabama boy named Peejoe -short for Peter Joseph- gets a quick education in grown-up matters like freedom in 1965. The catalyst is an unlikely source - his glamorous, eccentric Aunt Lucille, who escapes from her abusive husband and takes off for Hollywood to pursue her dreams of TV stardom."
1683,"The story of two Mumfords - one a small town, the other a man. Mumford, the town, is full of people with problems, from a teenage girl who is unhappy with her looks to a local billionaire, ""the king of modems"", who would trade everything away if he could. So when Micky Mumford, the man, turns out to be a psychologist with slightly unusual methods he soon finds a spot in people's heart as someone to whom they can tell their secrets. But Micky too has a secret, and that one's about to hunt him down."
1684,"In 1935 a group of elderly British women, whom the Italians have named the Scorpioni, have chosen Italy, specifically Florence, as a place to live to blend their proper British sensibilities with their love of Italian art and culture. One of those Scorpioni, Mary Walsh, works as the English secretary for Paolo Innocente, who, in part because of his own wife's adamant refusal, largely neglects his illegitimate adolescent son, Luca, despite Paolo's want for Luca to grow up to be a proper young man, much like the English. Luca has lived in an orphanage since his dressmaker mother's death, death a concept that Luca does not yet understand. As such, he often runs away looking for his mother. On a mutual agreement between Paolo and Mary, Mary becomes Luca's guardian, she who will receive help in raising Luca by her fellow Scorpioni and financial help from Paolo as needed. Associated with the Scorpioni is a brash younger nouveau riche Jewish-American woman named Elsa Morgenthal, who, because of her affection for Luca's mother to who she owed money, sets up a trust for Luca's future. Among the Scorpioni, Lady Hester Random, the widow of the former ambassador to Italy, in particular and Elsa do not get along because of their fundamental outward differences. The life for the Scorpioni changes with the onset of WWII, more specifically when Italy declares war on Britain and France. Despite all of the Scorpioni taken into custody of sorts by the Italians, they are eventually housed in the comforts of a hotel. Lady Hester wrongly believes it is her association with Mussolini that has gotten them into their comfortable surroundings, but which in reality was arranged and paid for by Elsa. Luca, who has just returned to Italy after attending school in Austria, helps Elsa with her efforts to assist those persecuted in Italy. Luca, now a teenager, has fallen in love with Elsa. As such, Luca is jealous of Elsa's professional and personal relationship with Italian lawyer Vittorio Fanfanni. Elsa's own situation becomes more precarious with the United States' entrance into the war, the Nazis' increasing persecution of Jews, and Luca discovering that Fanfanni has ulterior motives in his relationship with Elsa. Through it all, Mary still tries to be the voice of what is right to Luca, who may be tainted by his own immature teenaged thoughts during these difficult times."
1685,"Luc Devereaux, the only surviving member of the original Universal Soldier Team. He now works with Dylan Cotner, on a project to create and improve a new Universal Soldier. Their plan is for the Universal soldier or UNISOLS to be controlled by a computer they call SETH. When the government decides to terminate the project, which includes shutting down SETH. SETH, not wanting this to happen, takes steps to prevent this. He first kills Dylan. He then has himself transfered into a body. He then seeks out Luc Devereaux, who is the only person who knows the code that will stop his program from being deleted. So he sends out all the UNISOLS to get him. Luc must try and stay away until SETH program is deleted. But SETH has targeted his daughter as possible leverage."
1686,"Greg is near the end of his senior year in high school, wanting to go to the prom, eyeing Cinny (the school's beauty with brains) from afar, and regularly trippin', daydreaming about being a big success as a poet, a student, a lover. His mom wants him to apply to colleges, but Greg hasn't a clue. One of his teachers, Mr. Shapic, tries to inspire him, too. He finally figures out he can get close to Cinny if he asks her for help with college applications. But friendship isn't enough, he wants romance and a prom date. So, he tells a few lies and, for awhile, it seems to be working. Then, things fall apart and Greg has to figure out how to put the trippin aside and get real."
1687,"Seth Winnick has it all: a successful career in television, good friends, and a passionate relationship with beautiful Chelsea. However, when he fails to make a timely marriage proposal, Chelsea tries to make his life hell."
1688,"Elmo loves his fuzzy, blue blanket, and would never let anything happen to it. However, a tug-of-war with his friend Zoe sends his blanket to a faraway land, and Elmo in hot pursuit. Facing life without his cherished blanket, Elmo musters all of his determination and courage and heads off on an action-packed rescue mission that plunges him into Grouchland, a place full of grouchy creatures, stinky garbage and the villainous Huxley. Along the way, Elmo learns an important lesson about sharing, realizing that he was selfish with his friend and responsible for what happened."
1689,"Jimmie is seeing his single friends get married one by one. He isn't too worried until his girlfriend Anne catches the bouquet at his friend Marco's wedding. Suddenly, his wild mustang days are numbered. He finally decides to propose to her, but he sticks his foot in his mouth and botches the proposal. Being insulted by the defeatist proposal, Anne leaves town on an assignment. After she's gone, he finds out that his recently-deceased grandfather's will stipulates that he gets nothing of a multi-million dollar fortune unless he's married by 6:05pm on his 30th birthday: tomorrow! Not being able to find Anne, Jimmie begins backtracking through his past girlfriends to find a wife."
1690,"An evil genius in a flying fortress is trying to kidnap the birds of the fire, ice, and lightning islands in hopes of luring the sea power, Lugia, and controlling the world. Ash and his friends, in the process of carrying out an island tradition that requires visiting those three islands, discover the plot and try to stop it. Even the comic villains, Team Rocket, turn good and help out in the end against the threat of world destruction. And Pokemon assemble from all around the world in case they can be of help (but they end up helping only the merchandising)."
1691,"After Gonzo receives messages from his breakfast cereal, he determines that he is an alien and tries to contact his alien brethren, but is captured by an overzealous secret government agency determined to prove the existence of extraterrestrial life. It's up to Kermit and the gang to rescue Gonzo and help reunite him with his long-lost family."
1692,"A boy from Pawtucket, Rhode Island, caught up in the drug scene of the mid-70s, gets in trouble one too many times with the law. To stave off a jail term, his father arranges for him to be placed into a prep school in Cornwall, Connecticut. The terms: Graduate, or else."
